X	Y	Data
1936	15488	0.108392
3872	15488	0.130406
5808	15488	0.142212
7744	15488	0.139766
9680	15488	0.114248
11616	15488	0.076968
13552	15488	0.032839
15488	15488	0.023789
17424	15488	0.063300
19360	15488	0.099949
21296	15488	0.124913
23232	15488	0.135932
25168	15488	0.142783
27104	15488	0.140340
29040	15488	0.137789
30976	15488	0.130983
32912	15488	0.125421
34848	15488	0.116971
36784	15488	0.107386
38720	15488	0.082790
40656	15488	0.057400
42592	15488	0.028511
44528	15488	0.037760
46464	15488	0.074506
48400	15488	0.111289
50336	15488	0.140643
52272	15488	0.155488
54208	15488	0.153013
56144	15488	0.146967
58080	15488	0.140812
58100	15488	0.141034
0	17424	0.111018
1936	17424	0.160368
3872	17424	0.199792
5808	17424	0.220056
7744	17424	0.205664
9680	17424	0.160968
11616	17424	0.092391
13552	17424	0.019716
15488	17424	0.062661
17424	17424	0.128097
19360	17424	0.163784
21296	17424	0.175681
23232	17424	0.166684
25168	17424	0.150115
27104	17424	0.134744
29040	17424	0.129363
30976	17424	0.129898
32912	17424	0.141548
34848	17424	0.154821
36784	17424	0.159499
38720	17424	0.144707
40656	17424	0.113670
42592	17424	0.062713
44528	17424	0.036262
46464	17424	0.106489
48400	17424	0.162834
50336	17424	0.209869
52272	17424	0.220438
54208	17424	0.208823
56144	17424	0.179179
58080	17424	0.146985
58100	17424	0.145663
0	19360	0.093294
1936	19360	0.160569
3872	19360	0.221953
5808	19360	0.251289
7744	19360	0.234332
9680	19360	0.176462
11616	19360	0.085209
13552	19360	0.024013
15488	19360	0.105314
17424	19360	0.168649
19360	19360	0.201176
21296	19360	0.183783
23232	19360	0.150461
25168	19360	0.109113
27104	19360	0.084284
29040	19360	0.074628
30976	19360	0.110779
32912	19360	0.110355
34848	19360	0.151516
36784	19360	0.182572
38720	19360	0.195707
40656	19360	0.158973
42592	19360	0.093542
44528	19360	0.027738
46464	19360	0.113964
48400	19360	0.185376
50336	19360	0.234996
52272	19360	0.241626
54208	19360	0.214267
56144	19360	0.155902
58080	19360	0.099930
58100	19360	0.098021
0	21296	0.031053
1936	21296	0.112807
3872	21296	0.191700
5808	21296	0.248736
7744	21296	0.231264
9680	21296	0.168109
