X	Y	Data
11620	34860	0.023928
14525	34860	0.111616
17430	34860	0.174390
20335	34860	0.133244
23240	34860	0.018751
26145	34860	0.083065
29050	34860	0.114106
31955	34860	0.060314
34860	34860	0.044376
37765	34860	0.133223
40670	34860	0.145977
43575	34860	0.074055
46480	34860	0.045301
49385	34860	0.128417
52290	34860	0.134457
55195	34860	0.061629
58100	34860	0.058329
0	37765	0.062428
2905	37765	0.134617
5810	37765	0.176844
8715	37765	0.151373
11620	37765	0.063554
14525	37765	0.061069
17430	37765	0.150128
20335	37765	0.167325
23240	37765	0.110140
26145	37765	0.046077
29050	37765	0.027530
31955	37765	0.056118
34860	37765	0.114118
37765	37765	0.152217
40670	37765	0.130987
43575	37765	0.045570
46480	37765	0.076986
49385	37765	0.162906
52290	37765	0.181357
55195	37765	0.136374
58100	37765	0.061929
0	40670	0.124703
2905	40670	0.152295
5810	40670	0.165092
8715	40670	0.142772
11620	40670	0.090172
14525	40670	0.004129
17430	40670	0.090634
20335	40670	0.143672
23240	40670	0.149914
26145	40670	0.122874
29050	40670	0.108758
31955	40670	0.111913
34860	40670	0.122954
37765	40670	0.117991
40670	40670	0.081291
43575	40670	0.020338
46480	40670	0.075976
49385	40670	0.136779
52290	40670	0.153982
55195	40670	0.126780
58100	40670	0.081463
0	43575	0.100776
2905	43575	0.068736
5810	43575	0.223075
8715	43575	0.065303
11620	43575	0.071877
14525	43575	0.050678
17430	43575	0.019561
20335	43575	0.051232
23240	43575	0.085787
26145	43575	0.094433
29050	43575	0.089749
31955	43575	0.063260
34860	43575	0.048050
37765	43575	0.028481
40670	43575	0.020398
43575	43575	0.024530
46480	43575	0.043132
49385	43575	0.057699
52290	43575	0.058922
55195	43575	0.041168
58100	43575	0.067889
0	46480	0.027848
2905	46480	0.067573
5810	46480	0.090107
8715	46480	0.065163
11620	46480	0.031284
14525	46480	0.081084
17430	46480	0.111596
20335	46480	0.091314
23240	46480	0.037578
26145	46480	0.016993
29050	46480	0.028856
31955	46480	0.032055
34860	46480	0.062108
37765	46480	0.086265
40670	46480	0.078384
43575	46480	0.038095
46480	46480	0.015451
49385	46480	0.053689
52290	46480	0.069250
55195	46480	0.065297
58100	46480	0.070774
0	49385	0.073191
2905	49385	0.165815
5810	49385	0.212557
8715	49385	0.171627
11620	49385	0.073970
14525	49385	0.091691
